,product_name,main_category,main_category_en,image_url,energy,energy_from_fat,fat,saturated_fat,butyric_acid,caproic_acid,caprylic_acid,capric_acid,lauric_acid,myristic_acid,palmitic_acid,stearic_acid,arachidic_acid,behenic_acid,lignoceric_acid,cerotic_acid,montanic_acid,melissic_acid,monounsaturated_fat,polyunsaturated_fat,omega_3_fat,alpha_linolenic_acid,eicosapentaenoic_acid,docosahexaenoic_acid,omega_6_fat,linoleic_acid,arachidonic_acid,gamma_linolenic_acid,dihomo_gamma_linolenic_acid,omega_9_fat,oleic_acid,elaidic_acid,gondoic_acid,mead_acid,erucic_acid,nervonic_acid,trans_fat,cholesterol,carbohydrates,sugars,sucrose,glucose,fructose,lactose,maltose,maltodextrins,starch,polyols,fiber,proteins,casein,serum_proteins,nucleotides,salt,sodium,alcohol,vitamin_a,beta_carotene,vitamin_d,vitamin_e,vitamin_k,vitamin_c,vitamin_b1,vitamin_b2,vitamin_pp,vitamin_b6,vitamin_b9,folates,vitamin_b12,biotin,pantothenic_acid,silica,bicarbonate,potassium,chloride,calcium,phosphorus,iron,magnesium,zinc,copper,manganese,fluoride,selenium,chromium,molybdenum,iodine,caffeine,taurine,ph,fruits_vegetables_nuts,fruits_vegetables_nuts_estimate,collagen_meat_protein_ratio,cocoa,chlorophyl,carbon_footprint,nutrition_score_fr,nutrition_score_uk,glycemic_index,water_hardness
232,,en:groceries,Groceries,,1215.0,,23.8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,17.0,,,,,,,,,,1.3,,,,1.7,0.669291338582677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,
247,Salsa de mostaza,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/000/008/415/4071/front.5.400.jpg,320.0,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Flat Leaf Parsley,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/00002929/front.4.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Mixed peppers,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/00008433/front.3.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Spring onions,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/00008761/front.3.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Curiously Strong Mints,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/00011501/front.14.400.jpg,1665.0,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,96.0,,,,,,,,,0.1,0.9,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,
484,Reduced Fat Mayonnaise,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/00014816/front.4.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Yellow Mustard,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/000/415/000/07007/front.10.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
701,Sauce bolognaise,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/000/720/000/0021/front.3.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,Spaghetti sauce with mushrooms,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/00090780/front.7.400.jpg,162.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.62,5.17,,,,,,,,,1.72,1.72,,,,0.81,0.319,,0.000103,,,,,0.007759999999999999,,,,,,,,,,,,,,0.0345,,0.000931,,,,,,,,,,,,,,,,,,,1.0,1.0,,
966,Moutarde Posh Dog,en:groceries,Groceries,,347.0,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,4.0,5.1,,,,3.5,1.3779527559055098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,
3292,Original Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
3397,Original Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
3543,Tomato Ketchup From Concentarate,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
3814,Original Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
4072,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,23.53,,,,,,,,,0.0,0.0,,,,2.24028,0.882,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,15.0,15.0,,
4224,Sriracha Ketchup,en:groceries,Groceries,,368.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,17.65,,,,,,,,,5.9,0.0,,,,3.43662,1.3530000000000002,,0.0,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,9.0,9.0,,
4332,Sriracha Ketchup,en:groceries,Groceries,,368.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,17.65,,,,,,,,,5.9,0.0,,,,3.43662,1.3530000000000002,,0.0,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,9.0,9.0,,
4715,Original Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
5484,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
5485,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
5486,Tomato Ketchup,en:groceries,Groceries,,368.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0005295,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
5487,Tomato Ketchup,en:groceries,Groceries,,368.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0005295,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
5488,Tomato Ketchup,en:groceries,Groceries,,368.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0005295,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
5489,Tomato Ketchup,en:groceries,Groceries,,368.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0005295,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
5490,Organic Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,23.53,23.53,,,,,,,,,,0.0,,,,2.39014,0.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,,
5491,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
7005,Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
7366,Green Pepper Sauce,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/001/120/000/9717/front.3.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
7405,Pepper Sauce,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/001/121/000/0018/front.6.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7434,Green pepper sauce,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/001/121/000/9493/front.6.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7436,Spicy Ketchup,en:groceries,Groceries,,494.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,29.41,11.76,,,,,,,,,,0.0,,,,2.09296,0.8240000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7443,Original,en:groceries,Groceries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7445,Salsa de chiles picantes &quot;Tabasco&quot;,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/001/121/011/5644/front.5.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7447,Green Pepper Sauce,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/001/121/060/1369/front.8.400.jpg,46.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.0,,,,,,,,,1.2,0.6,,,,7.4,2.9133858267716497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,
7448,Chipotle pepper sauce - smoked red Jalapeños,en:groceries,Groceries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7764,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,,
7765,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
7894,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
7895,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
7896,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.41,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
7936,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,23.53,23.53,,,,,,,,,0.0,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,16.0,16.0,,
9043,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.41,23.53,,,,,,,,,,0.0,,,,2.39014,0.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9149,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.41,23.53,,,,,,,,,,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9661,Ma sauce fromage blanc & moutarde de Dijon,en:groceries,Groceries,http://en.openfoodfacts.org/images/products/00113670/front.3.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9996,Tomato Ketchup,en:groceries,Groceries,,494.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.41,23.53,,,,,,,,,,0.0,,,,2.39014,0.941,,0.0001764,,,,,0.0071,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
